time,indices,devices,datum,types,methods,units
"2024-07-11 15:23:00",cpu.user_percent,node.spdr01,0.2,,,
"2024-07-11 15:23:00",cpu.system_percent,node.spdr01,0.5,,,
"2024-07-11 15:23:00",cpu.idle_percent,node.spdr01,99.3,,,
"2024-07-11 15:23:00",cpu.usage_percent,node.spdr01,0.7,,,
"2024-07-11 15:23:00",cpu.load_1,node.spdr01,14.0,,,
"2024-07-11 15:23:00",cpu.load_5,node.spdr01,39.61,,,
"2024-07-11 15:23:00",cpu.load_15,node.spdr01,47.04,,,
"2024-07-11 15:23:00",temperature.exit_air_temp,node.spdr01,40.0,,,
"2024-07-11 15:23:00",network.send_bytes[en0],node.spdr01,2089344766157,,,
"2024-07-11 15:23:00",network.recv_bytes[en0],node.spdr01,414705804013,,,
"2024-07-11 15:23:00",power.node_watts,node.spdr01,136,,,
"2024-07-11 15:23:00",power.chassis_watts,node.spdr01,135,,,
"2024-07-11 15:23:00",power.cpu_watts,node.spdr01,50,,,
"2024-07-11 15:23:00",power.mem_watts,node.spdr01,7,,,
"2024-07-11 15:23:00",system.process_count,node.spdr01,675,,,
"2024-07-11 15:25:13",cpu.user_percent,node.spdr01,0.2,,,
"2024-07-11 15:25:13",cpu.system_percent,node.spdr01,0.5,,,
"2024-07-11 15:25:13",cpu.idle_percent,node.spdr01,99.3,,,
"2024-07-11 15:25:13",cpu.usage_percent,node.spdr01,0.7,,,
"2024-07-11 15:25:13",cpu.load_1,node.spdr01,14.0,,,
"2024-07-11 15:25:13",cpu.load_5,node.spdr01,39.61,,,
"2024-07-11 15:25:13",cpu.load_15,node.spdr01,47.04,,,
"2024-07-11 15:25:13",temperature.exit_air_temp,node.spdr01,40.0,,,
"2024-07-11 15:25:13",network.send_bytes[en0],node.spdr01,2089344766157,,,
"2024-07-11 15:25:13",network.recv_bytes[en0],node.spdr01,414705804013,,,
"2024-07-11 15:25:13",power.node_watts,node.spdr01,136,,,
"2024-07-11 15:25:13",power.chassis_watts,node.spdr01,135,,,
"2024-07-11 15:25:13",power.cpu_watts,node.spdr01,50,,,
"2024-07-11 15:25:13",power.mem_watts,node.spdr01,7,,,
"2024-07-11 15:25:13",system.process_count,node.spdr01,675,,,
"2024-07-11 15:26:59",cpu.user_percent,node.spdr01,0.2,,,
"2024-07-11 15:26:59",cpu.system_percent,node.spdr01,0.5,,,
"2024-07-11 15:26:59",cpu.idle_percent,node.spdr01,99.3,,,
"2024-07-11 15:26:59",cpu.usage_percent,node.spdr01,0.7,,,
"2024-07-11 15:26:59",cpu.load_1,node.spdr01,14.0,,,
"2024-07-11 15:26:59",cpu.load_5,node.spdr01,39.61,,,
"2024-07-11 15:26:59",cpu.load_15,node.spdr01,47.04,,,
"2024-07-11 15:26:59",temperature.exit_air_temp,node.spdr01,40.0,,,
"2024-07-11 15:26:59",network.send_bytes[en0],node.spdr01,2089344766157,,,
"2024-07-11 15:26:59",network.recv_bytes[en0],node.spdr01,414705804013,,,
"2024-07-11 15:26:59",power.node_watts,node.spdr01,136,,,
"2024-07-11 15:26:59",power.chassis_watts,node.spdr01,135,,,
"2024-07-11 15:26:59",power.cpu_watts,node.spdr01,50,,,
"2024-07-11 15:26:59",power.mem_watts,node.spdr01,7,,,
"2024-07-11 15:26:59",system.process_count,node.spdr01,675,,,
"2024-07-11 15:32:14",cpu.user_percent,node.spdr01,0.2,,,
"2024-07-11 15:32:14",cpu.system_percent,node.spdr01,0.5,,,
"2024-07-11 15:32:14",cpu.idle_percent,node.spdr01,99.3,,,
"2024-07-11 15:32:14",cpu.usage_percent,node.spdr01,0.7,,,
"2024-07-11 15:32:14",cpu.load_1,node.spdr01,14.0,,,
"2024-07-11 15:32:14",cpu.load_5,node.spdr01,39.61,,,
"2024-07-11 15:32:14",cpu.load_15,node.spdr01,47.04,,,
"2024-07-11 15:32:14",temperature.exit_air_temp,node.spdr01,40.0,,,
"2024-07-11 15:32:14",network.send_bytes[en0],node.spdr01,2089344766157,,,
"2024-07-11 15:32:14",network.recv_bytes[en0],node.spdr01,414705804013,,,
"2024-07-11 15:32:14",power.node_watts,node.spdr01,136,,,
"2024-07-11 15:32:14",power.chassis_watts,node.spdr01,135,,,
"2024-07-11 15:32:14",power.cpu_watts,node.spdr01,50,,,
"2024-07-11 15:32:14",power.mem_watts,node.spdr01,7,,,
"2024-07-11 15:32:14",system.process_count,node.spdr01,675,,,
"2024-07-11 15:47:59",cpu.user_percent,node.spdr01,0.2,,,
"2024-07-11 15:47:59",cpu.system_percent,node.spdr01,0.5,,,
"2024-07-11 15:47:59",cpu.idle_percent,node.spdr01,99.3,,,
"2024-07-11 15:47:59",cpu.usage_percent,node.spdr01,0.7,,,
"2024-07-11 15:47:59",cpu.load_1,node.spdr01,14.0,,,
"2024-07-11 15:47:59",cpu.load_5,node.spdr01,39.61,,,
"2024-07-11 15:47:59",cpu.load_15,node.spdr01,47.04,,,
"2024-07-11 15:47:59",temperature.exit_air_temp,node.spdr01,40.0,,,
"2024-07-11 15:47:59",network.send_bytes[en0],node.spdr01,2089344766157,,,
"2024-07-11 15:47:59",network.recv_bytes[en0],node.spdr01,414705804013,,,
"2024-07-11 15:47:59",power.node_watts,node.spdr01,136,,,
"2024-07-11 15:47:59",power.chassis_watts,node.spdr01,135,,,
"2024-07-11 15:47:59",power.cpu_watts,node.spdr01,50,,,
"2024-07-11 15:47:59",power.mem_watts,node.spdr01,7,,,
"2024-07-11 15:47:59",system.process_count,node.spdr01,675,,,
"2024-07-11 15:49:14",cpu.user_percent,node.spdr01,0.2,,,
"2024-07-11 15:49:14",cpu.system_percent,node.spdr01,0.5,,,
"2024-07-11 15:49:14",cpu.idle_percent,node.spdr01,99.3,,,
"2024-07-11 15:49:14",cpu.usage_percent,node.spdr01,0.7,,,
"2024-07-11 15:49:14",cpu.load_1,node.spdr01,14.0,,,
"2024-07-11 15:49:14",cpu.load_5,node.spdr01,39.61,,,
"2024-07-11 15:49:14",cpu.load_15,node.spdr01,47.04,,,
"2024-07-11 15:49:14",temperature.exit_air_temp,node.spdr01,40.0,,,
"2024-07-11 15:49:14",network.send_bytes[en0],node.spdr01,2089344766157,,,
"2024-07-11 15:49:14",network.recv_bytes[en0],node.spdr01,414705804013,,,
"2024-07-11 15:49:14",power.node_watts,node.spdr01,136,,,
"2024-07-11 15:49:14",power.chassis_watts,node.spdr01,135,,,
"2024-07-11 15:49:14",power.cpu_watts,node.spdr01,50,,,
"2024-07-11 15:49:14",power.mem_watts,node.spdr01,7,,,
"2024-07-11 15:49:14",system.process_count,node.spdr01,675,,,
"2024-07-11 15:50:37",cpu.user_percent,node.spdr01,0.2,,,
"2024-07-11 15:50:37",cpu.system_percent,node.spdr01,0.5,,,
